ID,Education,Experience,Position,Employment Status,Base Salary,Salary + Equity + Bonus,Currency Code,Base in USD,TTP in USD,Hourly Wage,What is your current hourly rate? ,What is the currency of your compensation? (Please use 3 letter format) ,Int't - COLI,US - COLI,Merged COLI,"Adjusted
Base USD",Adjusted TTP USD,Equity,Equity Value,USD salary - current,USD salart - last year,"What is your current annual salary in CAD before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in CAD before taxes this time last year? (Not including bonuses, stock options, or other benefits)","What is your current annual salary in EUR before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in EUR before taxes this time last year? (Not including bonuses, stock options, or other benefits)",What is your local currency?,"What is your current annual salary in {{field:7d458495-8fa9-484b-b039-e029a209442d}} before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in {{field:7d458495-8fa9-484b-b039-e029a209442d}} before taxes this time last year? (Not including bonuses, stock options, or other benefits)",Will you be receiving a bonus this year?,"If all things went well and you were to receive your full bonus for this year, approximately what would the value be in {{field:7d458495-8fa9-484b-b039-e029a209442d}}? (If you aren't sure feel free to skip)",Company Type,Company Type,Industry,Industry,Team Size,Residence - Country,City of Residence,State of Residence,Residence - Undefined,Residence - Lat,Residence - Long,latlng,Residence - Undef.,Residence - Metro,Residence - Country,Office - Same City,Office - Country,Office - Undefined,Office - Lat,Office - Long,Office - LatLng,Office - Metro,Office - Country Clean,Gender,Under-represented
138,Bachelor's Degree,Between 1 and 3 years,Designer,Employed - Full time,61500,123500,CAD,"$47,970","$96,330",FALSE,,CAD,76.08,,76.08,"$63,052","$126,617",FALSE,,,,61500,60000,,,,,,TRUE,62000,Large Enterprise (201+),Large Enterprise (201+),Telecommunications,Telecommunications,5 to 9,Canada,,,,43.4675,-79.6877,"43.4675,-79.6877",,Toronto,Canada,FALSE,Canada,,43.714717,-79.384813,"43.714717,-79.384813",Toronto,Canada,Woman,TRUE
165,Master's Degree,Less than 1 year,UX Researcher,Employed - Full time,75600,78600,BRL,"$14,364","$14,934",FALSE,,BRL,35.25,,35.251125,"$40,748","$42,365",FALSE,,,,,,,,,75600,12000,TRUE,3000,Large Enterprise (201+),Large Enterprise (201+),Software,Software,5 to 9,BRAZIL,,,,-31.741251,-52.326531,"-31.741251,-52.326531",,Pelotas,Brazil,FALSE,BRAZIL,,-22.900889,-47.09039,"-22.900889,-47.09039",Campinas,Brazil,Woman,TRUE
171,Master's Degree,Between 3 and 6 years,UX Research Lead,Employed - Full time,75000,75000,EUR,"$92,250","$92,250",FALSE,,EUR,76.08,,76.08,"$121,254","$121,254",TRUE,0,,,,,75000,0,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Finance,Finance & Insurance,2 to 4,Canada,,,,43.714717,-79.384813,"43.714717,-79.384813",,Toronto,Canada,FALSE,Germany,,52.503612,13.406819,"52.503612,13.406819",Kreuzberg,Germany,Man,FALSE
178,Master's Degree,Between 3 and 6 years,Senior UX Researcher,Employed - Full time,62000,62000,EUR,"$76,260","$76,260",FALSE,,EUR,84.89,,84.891625,"$89,832","$89,832",FALSE,,,,,,62000,58000,,,,FALSE,,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Education,Education,1,The Netherlands,,,,52.50845,4.963358,"52.50845,4.963358",,Purmerend,Netherlands,FALSE,Netherlands,,52.362348,4.878173,"52.362348,4.878173",Tenzing Domain,Netherlands,Woman,TRUE
179,Master's Degree,Between 3 and 6 years,UX Research Manager,Self-Employed / Freelancer,2000000,2000000,INR,"$28,000","$28,000",FALSE,,INR ,27.44,,27.4365,"$102,054","$102,054",FALSE,,,,,,,,,2000000,1250000,FALSE,,Agency,Agency,Consulting,Professional & Business Services,10 to 14,India,,,,19.076541,72.86404,"19.076541,72.86404",,Bāndra,India,FALSE,India,,12.974859,77.572438,"12.974859,77.572438",Balepette,India,Woman,FALSE
181,"Doctorate (e.g., PhD, EdD)",Less than 1 year,Senior UX Researcher,Employed - Full time,92000,92000,CAD,"$71,760","$71,760",FALSE,,CAD,75.28,,75.27975,"$95,324","$95,324",FALSE,,,,92000,55000,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Finance,Finance & Insurance,2 to 4,Canada,,,,43.54275,-80.244773,"43.54275,-80.244773",,Kitchener--Waterloo--Barrie,Canada,FALSE,Canada,,45.539156,-73.59897,"45.539156,-73.59897",Montréal,Canada,Woman,FALSE
182,Master's Degree,Between 6 and 10 years,Senior UX Researcher,Self-Employed / Freelancer,107250,107250,USD,"$107,250","$107,250",TRUE,55,USD,76.08,,76.08,"$140,970","$140,970",FALSE,,107250,35,,,,,,,,FALSE,,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Finance,Finance & Insurance,1,canada,,,,43.714717,-79.384813,"43.714717,-79.384813",,Toronto,Canada,FALSE,USA,,40.750422,-73.996328,"40.750422,-73.996328","New York-Newark-Jersey City, NY-NJ-PA",United States,Man,FALSE
184,Master's Degree,Between 1 and 3 years,UX Researcher,Employed - Full time,75400,77400,CHF,"$85,202","$87,462",FALSE,,CHF,134.42,,134.42,"$63,385","$65,066",TRUE,400,,,,,,,,75400,71500,TRUE,2000,Large Enterprise (201+),Large Enterprise (201+),Finance,Finance & Insurance,1,Switzerland,,,,46.524904,6.637244,"46.524904,6.637244",,Lausanne,Switzerland,FALSE,Switzerland,,46.200899,6.14609,"46.200899,6.14609",Genève,Switzerland,Man,TRUE
190,Bachelor's Degree,Between 3 and 6 years,Senior UX Researcher,Employed - Full time,61000,71000,GBP,"$82,960","$96,560",FALSE,,GBP,74.70,,74.699625,"$111,058","$129,264",FALSE,,,,,,,,,61000,60000,TRUE,10000,Large Enterprise (201+),Large Enterprise (201+),Digital Health,Healthcare & Wellness,2 to 4,United kingdom,,,,51.518155,-0.133016,"51.518155,-0.133016",,Russell Square,United Kingdom,FALSE,United kingdom,,52.214741,0.1586,"52.214741,0.1586",Chesterton,United Kingdom,Woman,FALSE
203,Postgraduate,Between 3 and 6 years,UX Researcher,Employed - Full time,3130000,3130000,INR,"$43,820","$43,820",FALSE,,INR,27.44,,27.4365,"$159,714","$159,714",FALSE,,,,,,,,,3130000,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Education,Education,2 to 4,India,,,,12.974859,77.572438,"12.974859,77.572438",,Balepette,India,FALSE,Canada,,43.714717,-79.384813,"43.714717,-79.384813",Toronto,Canada,Man,FALSE
